sample,site,lat,long,pik,RR1,RR2,RR3,RR4,pop,S,group,species,Idnotes,micro_,
NSW1020318,S180_2017-03-29,-35.110239,150.661011,popnInfo000953,S180_2017-03-29,S180_2017-03-29,S180_2017-03-29,,,Bream_Beach,South_Coast,helianthi,,,
NSW1020027,S180_2017-03-29,-35.108783,150.660215,popnInfo000953,S180_2017-03-29,S180_2017-03-29,S180_2017-03-29,,,Bream_Beach,South_Coast,helianthi,,,
NSW1020309,S180_2017-03-29,-35.109102,150.660288,popnInfo000953,S180_2017-03-29,S180_2017-03-29,S180_2017-03-29,S180_2017-03-30,,Bream_Beach,South_Coast,helianthi,,,
NSW1020312,S180_2017-03-29,-35.109286,150.660371,popnInfo000953,S180_2017-03-29,S180_2017-03-29,S180_2017-03-29,,,Bream_Beach,South_Coast,helianthi,,,
NSW932966,S34_2015-09-17,-33.407403,150.942395,popnInfo000624,S34_2015-09-17,S34_2015-09-17,S34_2015-09-17,,,Colo,Central_West,helianthi,,,
NSW932970,S34_2015-09-17,-33.407455,150.94244,popnInfo000624,S34_2015-09-17,S34_2015-09-17,S34_2015-09-17,,,Colo,Central_West,helianthi,,,
NSW932969,S34_2015-09-17,-33.407437,150.942434,popnInfo000624,S34_2015-09-17,S34_2015-09-17,S34_2015-09-17,,,Colo,Central_West,helianthi,,,
NSW932964,S34_2015-09-17,-33.407544,150.94269,popnInfo000624,S34_2015-09-17,S34_2015-09-17,S34_2015-09-17,,,Colo,Central_West,helianthi,,,
NSW933132,S34_2015-09-17,-33.407465,150.942465,popnInfo000624,S34_2015-09-17,S34_2015-09-17,S34_2015-09-17,,,Colo,Central_West,helianthi,,,
NSW932965,S34_2015-09-17,-33.407537,150.942683,popnInfo000624,S34_2015-09-17,S34_2015-09-17,S34_2015-09-17,,,Colo,Central_West,helianthi,,,
NSW1027022,S687_2017-08-18,-33.261418,150.641116,popnInfo1831,S687_2017-08-18,S687_2017-08-18,S687_2017-08-18,,,Colo_Heights_E,Central_West,helianthi,,,
NSW1027024,S687_2017-08-18,-33.261318,150.641461,popnInfo1831,S687_2017-08-18,S687_2017-08-18,S687_2017-08-18,,,Colo_Heights_E,Central_West,helianthi,,,
NSW1027025,S687_2017-08-18,-33.261308,150.641349,popnInfo1831,S687_2017-08-18,S687_2017-08-18,S687_2017-08-18,,,Colo_Heights_E,Central_West,helianthi,,,
NSW1027021,S687_2017-08-18,-33.261413,150.641271,popnInfo1831,S687_2017-08-18,S687_2017-08-18,S687_2017-08-18,,,Colo_Heights_E,Central_West,helianthi,,,
NSW1027020,S687_2017-08-18,-33.261756,150.643997,popnInfo1831,S687_2017-08-18,S687_2017-08-18,S687_2017-08-18,,,Colo_Heights_E,Central_West,helianthi,,,
NSW1027023,S687_2017-08-18,-33.261136,150.641339,popnInfo1831,S687_2017-08-18,S687_2017-08-18,S687_2017-08-18,,,Colo_Heights_E,Central_West,helianthi,,,
NSW1020486,S51_2016-12-16,-33.271672,150.590341,popnInfo1919,S51_2016-12-16,S51_2016-12-16,S51_2016-12-16,,,Colo_Heights_W,Central_West,helianthi,,,
NSW1020488,S51_2016-12-16,-33.271931,150.590019,popnInfo1919,S51_2016-12-16,S51_2016-12-16,S51_2016-12-16,S51_2016-12-17,,Colo_Heights_W,Central_West,helianthi,,,
NSW1020485,S51_2016-12-16,-33.271453,150.590638,popnInfo1919,S51_2016-12-16,S51_2016-12-16,S51_2016-12-16,,,Colo_Heights_W,Central_West,helianthi,,,
NSW1020484,S51_2016-12-16,-33.271453,150.590638,popnInfo1919,S51_2016-12-16,S51_2016-12-16,S51_2016-12-16,,,Colo_Heights_W,Central_West,helianthi,,,
NSW1020487,S51_2016-12-16,-33.271797,150.590247,popnInfo1919,S51_2016-12-16,S51_2016-12-16,S51_2016-12-16,,,Colo_Heights_W,Central_West,helianthi,,,
NSW1020483,S51_2016-12-16,-33.271135,150.591141,popnInfo1919,S51_2016-12-16,S51_2016-12-16,S51_2016-12-16,,,Colo_Heights_W,Central_West,helianthi,,,
NSW1018189,S441_2017-05-27,-29.177472,153.39086,popnInfo1519,S441_2017-05-27,S441_2017-05-27,S441_2017-05-27,,,Evens_Head,North_Coast,helianthi,,,
NSW1018164,S441_2017-05-27,-29.177418,153.390724,popnInfo1519,S441_2017-05-27,S441_2017-05-27,S441_2017-05-27,,,Evens_Head,North_Coast,helianthi,,,
NSW1018129,S441_2017-05-27,-29.177207,153.390545,popnInfo1519,S441_2017-05-27,S441_2017-05-27,S441_2017-05-27,,,Evens_Head,North_Coast,helianthi,,,
NSW1018154,S441_2017-05-27,-29.177547,153.390576,popnInfo1519,S441_2017-05-27,S441_2017-05-27,S441_2017-05-27,,,Evens_Head,North_Coast,helianthi,,,
NSW1018216,S441_2017-05-27,-29.177452,153.390739,popnInfo1519,S441_2017-05-27,S441_2017-05-27,S441_2017-05-27,,,Evens_Head,North_Coast,helianthi,,,
NSW1011113,S30_2016-03-18,-33.667834,150.544704,popnInfo001361,S30_2016-03-18,S30_2016-03-18,S30_2016-03-18,,,Faulconbridge,Central_West,helianthi,,,
NSW1011112,S30_2016-03-18,-33.667171,150.543464,popnInfo001361,S30_2016-03-18,S30_2016-03-18,S30_2016-03-18,,,Faulconbridge,Central_West,helianthi,,,
NSW1011102,S30_2016-03-18,-33.667013,150.543154,popnInfo001361,S30_2016-03-18,S30_2016-03-18,S30_2016-03-18,,,Faulconbridge,Central_West,helianthi,,,
NSW1011117,S30_2016-03-18,-33.667453,150.543864,popnInfo001361,S30_2016-03-18,S30_2016-03-18,S30_2016-03-18,,,Faulconbridge,Central_West,helianthi,,,
NSW1011084,S30_2016-03-18,-33.667456,150.54388,popnInfo001361,S30_2016-03-18,S30_2016-03-18,S30_2016-03-18,,,Faulconbridge,Central_West,helianthi,,,
NSW1011097,S30_2016-03-18,-33.667009,150.543191,popnInfo001361,S30_2016-03-18,S30_2016-03-18,S30_2016-03-18,,,Faulconbridge,Central_West,helianthi,,,
NSW1008900,Heathcote_National_Park_2015-10-14,-34.18424,150.98,No_data,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,,,Fernance_(Yengo),Central_West,helianthi,,,
NSW1008921,Heathcote_National_Park_2015-10-14,-33.16944,150.99333,No_data,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,,,Fernance_(Yengo),Central_West,helianthi,,,
NSW1008926,Heathcote_National_Park_2015-10-14,-33.16936,150.99312,No_data,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,,,Fernance_(Yengo),Central_West,helianthi,,,
NSW1008916,Heathcote_National_Park_2015-10-14,-34.16938,150.99336,No_data,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,,,Fernance_(Yengo),Central_West,helianthi,,,
NSW1008915,Heathcote_National_Park_2015-10-14,-34.16934,150.9931,No_data,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,,,Fernance_(Yengo),Central_West,helianthi,,,
NSW1008910,Heathcote_National_Park_2015-10-14,-34.16959,150.99643,No_data,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,,,Fernance_(Yengo),Central_West,helianthi,,,
NSW1035794,S1914_2018-05-15,-29.830831,151.134407,popnInfo003295,S1914_2018-05-15,S1914_2018-05-15,S1914_2018-05-15,,,Goonoowigal_SCA,North_West,helianthi,,,
NSW1035800,S1914_2018-05-15,-29.830774,151.134039,popnInfo003295,S1914_2018-05-15,S1914_2018-05-15,S1914_2018-05-15,,,Goonoowigal_SCA,North_West,helianthi,,,
NSW1035798,S1914_2018-05-15,-29.830837,151.133928,popnInfo003295,S1914_2018-05-15,S1914_2018-05-15,S1914_2018-05-15,,,Goonoowigal_SCA,North_West,helianthi,,,
NSW1035805,S1914_2018-05-15,-29.83082,151.133759,popnInfo003295,S1914_2018-05-15,S1914_2018-05-15,S1914_2018-05-15,,,Goonoowigal_SCA,North_West,helianthi,,,
NSW1035804,S1914_2018-05-15,-29.830821,151.133263,popnInfo003295,S1914_2018-05-15,S1914_2018-05-15,S1914_2018-05-15,,,Goonoowigal_SCA,North_West,helianthi,,,
NSW1035803,S1914_2018-05-15,-29.830747,151.133112,popnInfo003295,S1914_2018-05-15,S1914_2018-05-15,S1914_2018-05-15,,,Goonoowigal_SCA,North_West,helianthi,,,
NSW1013361,S465_2017-05-28,-31.026029,153.025082,popnInfo1624,S465_2017-05-28,S465_2017-05-28,S465_2017-05-28,,,Hat_Head,North_Coast,helianthi,,,
NSW1017675,S465_2017-05-28,-31.026494,153.025244,popnInfo1624,S465_2017-05-28,S465_2017-05-28,S465_2017-05-28,,,Hat_Head,North_Coast,helianthi,,,
NSW1013391,S465_2017-05-28,-31.025579,153.025107,popnInfo1624,S465_2017-05-28,S465_2017-05-28,S465_2017-05-28,,,Hat_Head,North_Coast,helianthi,,,
NSW1013381,S465_2017-05-28,-31.025915,153.024951,popnInfo1624,S465_2017-05-28,S465_2017-05-28,S465_2017-05-28,,,Hat_Head,North_Coast,helianthi,,,
