sample,S,site,lat,long,site,Date,Collector,micro site,,,
NSW1158524,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ5,,,
NSW1156880,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ6,,,
NSW1156890,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ7,,,
NSW1156899,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ3,,,
NSW1156939,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ7,,,
NSW1156881,Braidwood Rd West,BRW22_12_22MJ,-35.0774,150.2033,BRW22_12_22MJ,22/12/2022,Mira Jordan,BRW22_12_22MJ1,,,
NSW1156936,Braidwood Rd West,BRW22_12_22MJ,-35.0774,150.2033,BRW22_12_22MJ,22/12/2022,Mira Jordan,BRW22_12_22MJ1,,,
NSW1158523,Braidwood Rd West,BRW22_12_22MJ,-35.0774,150.2033,BRW22_12_22MJ,22/12/2022,Mira Jordan,BRW22_12_22MJ2,,,
NSW1156900,Braidwood Rd West,BRW22_12_22MJ,-35.0774,150.2033,BRW22_12_22MJ,22/12/2022,Mira Jordan,BRW22_12_22MJ3,,,
NSW1156929,Braidwood Rd West,BRW22_12_22MJ,-35.0774,150.2033,BRW22_12_22MJ,22/12/2022,Mira Jordan,BRW22_12_22MJ3,,,
NSW1156889,Braidwood Rd West,BRW22_12_22MJ,-35.0774,150.2033,BRW22_12_22MJ,22/12/2022,Mira Jordan,BRW22_12_22MJ4,,,
NSW1156916,Braidwood Rd West,BRW22_12_22MJ,-35.0774,150.2033,BRW22_12_22MJ,22/12/2022,Mira Jordan,BRW22_12_22MJ4,,,
NSW1156874,Braidwood Rd East,BRE22_12_22MJ,-35.0893,150.1431,BRE22_12_22MJ,22/12/2022,Mira Jordan,BRE22_12_22MJ3,,,
NSW1156944,Braidwood Rd East,BRE22_12_22MJ,-35.0893,150.1431,BRE22_12_22MJ,22/12/2022,Mira Jordan,BRE22_12_22MJ3,,,
NSW1156869,Braidwood Rd East,BRE22_12_22MJ,-35.0893,150.1431,BRE22_12_22MJ,22/12/2022,Mira Jordan,BRE22_12_22MJ4,,,
NSW1156865,Braidwood Rd East,BRE22_12_22MJ,-35.0893,150.1431,BRE22_12_22MJ,22/12/2022,Mira Jordan,BRE22_12_22MJ4,,,
NSW1156882,Braidwood Rd East,BRE22_12_22MJ,-35.0893,150.1431,BRE22_12_22MJ,22/12/2022,Mira Jordan,BRE22_12_22MJ5,,,
NSW1156917,Braidwood Rd East,BRE22_12_22MJ,-35.0893,150.1431,BRE22_12_22MJ,22/12/2022,Mira Jordan,BRE22_12_22MJ5,,,
NSW1158539,Braidwood Rd East,BRE22_12_22MJ,-35.0893,150.1431,BRE22_12_22MJ,22/12/2022,Mira Jordan,BRE22_12_22MJ2,,,
NSW1156901,Narrow Neck,NN31_3_21GT,-33.7315,150.2841,NN31_3_21GT,31/03/2021,Guy Taseski,NN31_3_21GT1,,,
NSW1156892,Narrow Neck,NN11_2_21L,-33.7343,150.2823,NN11_2_21L,11/02/2021,Lloyd Hughes,NN_Bulked,,,
NSW1156914,Narrow Neck,NN11_2_21L,-33.7343,150.2823,NN11_2_21L,11/02/2021,Lloyd Hughes,NN_Bulked,,,
NSW1156910,Narrow Neck,NN11_2_21L,-33.7343,150.2823,NN11_2_21L,11/02/2021,Lloyd Hughes,NN_Bulked,,,
NSW1156904,Narrow Neck,NN11_2_21L,-33.7343,150.2823,NN11_2_21L,11/02/2021,Lloyd Hughes,NN_Bulked,,,
NSW1156927,Narrow Neck,NN11_2_21L,-33.7343,150.2823,NN11_2_21L,11/02/2021,Lloyd Hughes,NN_Bulked,,,
NSW1158519,Narrow Neck,NN11_2_21L,-33.7343,150.2823,NN11_2_21L,11/02/2021,Lloyd Hughes,NN_Bulked,,,
NSW1156879,Bundanoon,BU2_3_21L,-34.6843,150.2962,BU2_3_21L,2/03/2021,Lloyd Hughes,BU_Bulked,,,
NSW1156906,Bundanoon,BU2_3_21L,-34.6843,150.2962,BU2_3_21L,2/03/2021,Lloyd Hughes,BU_Bulked,,,
NSW1156902,Bundanoon,BU2_3_21L,-34.6843,150.2962,BU2_3_21L,2/03/2021,Lloyd Hughes,BU_Bulked,,,
NSW1156895,Bundanoon,BU2_3_21L,-34.6843,150.2962,BU2_3_21L,2/03/2021,Lloyd Hughes,BU_Bulked,,,
NSW1156896,Sassafrass,S2_3_21L,-35.0732,150.1983,S2_3_21L,2/03/2021,Lloyd Hughes,S_Bulked,,,
