sample,site,lat,long,pik,RR1,RR2,RR3
NSW1026961,S1062_2017-12-19,-32.312777,149.981977,popnInfo002265,S1062_2017-12-19,,
NSW1024074,Mt_Banks_BATS_Plot_XB_2017-05-29,-33.57912,150.36555,No_data,Mt_Banks_BATS_Plot_XB_2017-05-29,,
NSW1035041,Station_Creek_1987-10-24,-29.9197222,153.2625,No_data,Station_Creek_1987-10-24,,
NSW1035529,Lookout_1987-11-06,-25.4930556,148.8138889,No_data,Lookout_1987-11-06,,
NSW627629,Royal_National_Park_2015-01-22,-34.13878,151.119,No_data,Royal_National_Park_2015-01-22,,
NSW1035788,S1917_2018-05-15,-29.575324,150.578819,popnInfo003294,S1917_2018-05-15,S1917_2018-05-15,S1917_2018-05-15
NSW1048824,S2178_2018-06-19,-30.886448,153.07573,popnInfo003147,S2178_2018-06-19,S2178_2018-06-19,S2178_2018-06-19
NSW1023726,Mt_Banks_BATS_Plot_XB_2017-05-29,-33.57912,150.36555,No_data,Mt_Banks_BATS_Plot_XB_2017-05-29,,
NSW1023458,Mt_Banks_BATS_Plot_XB_2017-05-29,-33.57912,150.36555,No_data,Mt_Banks_BATS_Plot_XB_2017-05-29,,
NSW1008916,Heathcote_National_Park_2015-10-14,-34.16938,150.99336,No_data,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14
NSW1008839,Heathcote_National_Park_2015-10-15,-34.16956,150.99657,No_data,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15
NSW1026946,S1062_2017-12-19,-32.314049,149.982183,popnInfo002265,S1062_2017-12-19,,
NSW1031635,No_data_No_data,No_data,No_data,No_data,No_data_No_data,,
NSW1035544,Sassafras_1987-11-08,-35.0833,150.1417,No_data,Sassafras_1987-11-08,,
NSW1008889,Heathcote_National_Park_2015-10-15,-34.1694,150.99336,No_data,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15
NSW1023605,Mt_Banks_BATS_Plot_XB_2017-05-29,-33.57912,150.36555,No_data,Mt_Banks_BATS_Plot_XB_2017-05-29,,
NSW1031640,No_data_No_data,No_data,No_data,No_data,No_data_No_data,,
NSW1045530,S2322_2018-08-01,-36.832801,149.933601,popnInfo003469,S2322_2018-08-01,S2322_2018-08-01,S2322_2018-08-01
NSW1035800,S1914_2018-05-15,-29.830774,151.134039,popnInfo003295,S1914_2018-05-15,S1914_2018-05-15,S1914_2018-05-15
NSW1027505,S2190_2018-06-20,-29.985072,153.219354,popnInfo003140,S2190_2018-06-20,S2190_2018-06-20,S2190_2018-06-20
NSW1045520,S2322_2018-08-01,-36.831919,149.933831,popnInfo003469,S2322_2018-08-01,S2322_2018-08-01,S2322_2018-08-01
NSW1031639,Mountain_Lagoon_Fire_Trail_2008-04-01,-33.4469444444,150.6425,No_data,Mountain_Lagoon_Fire_Trail_2008-04-01,,
NSW1035539,Lost_Outcrop_1987-11-01,-28.6083,151.8411,No_data,Lost_Outcrop_1987-11-01,,
NSW1035796,S1917_2018-05-15,-29.575475,150.579194,popnInfo003294,S1917_2018-05-15,S1917_2018-05-15,S1917_2018-05-15
NSW1035792,S1917_2018-05-15,-29.575376,150.578837,popnInfo003294,S1917_2018-05-15,S1917_2018-05-15,S1917_2018-05-15
NSW1035798,S1914_2018-05-15,-29.830837,151.133928,popnInfo003295,S1914_2018-05-15,S1914_2018-05-15,S1914_2018-05-15
NSW1031641,Kurrajong_Heights_2007-10-01,-33.5188888889,150.6202777778,No_data,Kurrajong_Heights_2007-10-01,,
NSW1032224,S2709_2018-11-08,-28.905834,150.824959,popnInfo003755,S2709_2018-11-08,S2709_2018-11-08,S2709_2018-11-08
NSW1015899,S232_2016-10-13,-33.542629,150.345878,popnInfo001128,S232_2016-10-13,S232_2016-10-13,S232_2016-10-13
NSW1027500,S2190_2018-06-20,-29.98492,153.219231,popnInfo003140,S2190_2018-06-20,S2190_2018-06-20,S2190_2018-06-20
NSW1027491,S2193_2018-06-20,-30.00931,153.212388,popnInfo003138,S2193_2018-06-20,S2193_2018-06-20,S2193_2018-06-20
NSW1035549,Spyglass_Rock_1987-10-30,-24.8208333,147.1844444,No_data,Spyglass_Rock_1987-10-30,,
NSW1035025,Spotted_Gum_Fire_Trail_1987-10-26,-35.1333333,150.42,No_data,Spotted_Gum_Fire_Trail_1987-10-26,,
NSW1045523,S2322_2018-08-01,-36.83242,149.933638,popnInfo003469,S2322_2018-08-01,S2322_2018-08-01,S2322_2018-08-01
NSW1035805,S1914_2018-05-15,-29.83082,151.133759,popnInfo003295,S1914_2018-05-15,S1914_2018-05-15,S1914_2018-05-15
NSW1027504,S2193_2018-06-20,-30.008567,153.211991,popnInfo003138,S2193_2018-06-20,S2193_2018-06-20,S2193_2018-06-20
NSW1026966,S1062_2017-12-19,-32.312614,149.982295,popnInfo002265,S1062_2017-12-19,,
NSW1032172,S2709_2018-11-08,-28.906168,150.825673,popnInfo003755,S2709_2018-11-08,S2709_2018-11-08,S2709_2018-11-08
NSW1008915,Heathcote_National_Park_2015-10-14,-34.16934,150.9931,No_data,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14
NSW1045524,S2322_2018-08-01,-36.832798,149.933635,popnInfo003469,S2322_2018-08-01,S2322_2018-08-01,S2322_2018-08-01
NSW1027490,S2193_2018-06-20,-30.008391,153.212038,popnInfo003138,S2193_2018-06-20,S2193_2018-06-20,S2193_2018-06-20
NSW1048828,S2178_2018-06-19,-30.886525,153.075859,popnInfo003147,S2178_2018-06-19,S2178_2018-06-19,S2178_2018-06-19
NSW1035045,Howell_1987-11-03,-29.95,151.02,No_data,Howell_1987-11-03,,
NSW1035046,Camden_Haven_1987-10-23,-31.6472222,152.8366667,No_data,Camden_Haven_1987-10-23,,
NSW1028228,S2337_2018-08-02,-35.370012,150.474228,popnInfo003462,S2337_2018-08-02,S2337_2018-08-02,S2337_2018-08-02
NSW1035804,S1914_2018-05-15,-29.830821,151.133263,popnInfo003295,S1914_2018-05-15,S1914_2018-05-15,S1914_2018-05-15
NSW1035783,S1917_2018-05-15,-29.575581,150.579029,popnInfo003294,S1917_2018-05-15,S1917_2018-05-15,S1917_2018-05-15
NSW1028234,S2337_2018-08-02,-35.370169,150.474055,popnInfo003462,S2337_2018-08-02,S2337_2018-08-02,S2337_2018-08-02
NSW1032166,S2709_2018-11-08,-28.90568,150.824963,popnInfo003755,S2709_2018-11-08,S2709_2018-11-08,S2709_2018-11-08
NSW1015901,S232_2016-10-13,-33.542349,150.347378,popnInfo001128,S232_2016-10-13,S232_2016-10-13,S232_2016-10-13
NSW1027501,S2190_2018-06-20,-29.985097,153.219288,popnInfo003140,S2190_2018-06-20,S2190_2018-06-20,S2190_2018-06-20
NSW1035040,Blackmans_Mountain_1987-11-02,-31.3,149.05,No_data,Blackmans_Mountain_1987-11-02,,
NSW1031646,No_data_No_data,No_data,No_data,No_data,No_data_No_data,,
NSW1035524,Pigeon_House_Range_1987-11-07,-35.07,150.13,No_data,Pigeon_House_Range_1987-11-07,,
NSW1035036,Lakes_Way_1987-10-25,-32.2594444,152.5319444,No_data,Lakes_Way_1987-10-25,,
NSW1048826,S2178_2018-06-19,-30.886277,153.07561,popnInfo003147,S2178_2018-06-19,S2178_2018-06-19,S2178_2018-06-19
NSW1035803,S1914_2018-05-15,-29.830747,151.133112,popnInfo003295,S1914_2018-05-15,S1914_2018-05-15,S1914_2018-05-15
NSW1035791,S1917_2018-05-15,-29.575583,150.579093,popnInfo003294,S1917_2018-05-15,S1917_2018-05-15,S1917_2018-05-15
NSW1008910,Heathcote_National_Park_2015-10-14,-34.16959,150.99643,No_data,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14
NSW1045538,S2322_2018-08-01,-36.83315,149.933466,popnInfo003469,S2322_2018-08-01,S2322_2018-08-01,S2322_2018-08-01
NSW1027489,S2193_2018-06-20,-30.008944,153.212301,popnInfo003138,S2193_2018-06-20,S2193_2018-06-20,S2193_2018-06-20
NSW1035031,Christmas_Bell_Plain_1987-11-05,-31.53422,152.86483,No_data,Christmas_Bell_Plain_1987-11-05,,
