sample,site,lat,long,pik,RR1,RR2,RR3
NSW1021123,S249_2017-04-13,-33.401663,151.477588,popnInfo000926,S249_2017-04-13,S249_2017-04-13,S249_2017-04-13
NSW1009857,Heathcote_National_Park_2016-03-18,-34.07523,151.00156,No_data,Heathcote_National_Park_2016-03-18,,
NSW1021700,S321_2017-05-10,-30.540739,149.666945,popnInfo1434,S321_2017-05-10,S321_2017-05-10,S321_2017-05-10
NSW1021798,S303_2017-05-10,-31.014919,149.395897,popnInfo1468,S303_2017-05-10,S303_2017-05-10,S303_2017-05-10
NSW1010976,S37_2016-04-13,-33.595557,150.337882,popnInfo000380,S37_2016-04-13,S37_2016-04-13,S37_2016-04-13
NSW1021793,S303_2017-05-10,-31.01498,149.395662,popnInfo1468,S303_2017-05-10,S303_2017-05-10,S303_2017-05-10
NSW1020486,S51_2016-12-16,-33.271672,150.590341,popnInfo1919,S51_2016-12-16,S51_2016-12-16,S51_2016-12-16
NSW1020611,S138_2017-03-01,-32.800939,150.903246,popnInfo000999,S138_2017-03-01,S138_2017-03-01,S138_2017-03-01
NSW932970,S34_2015-09-17,-33.407455,150.94244,popnInfo000624,S34_2015-09-17,S34_2015-09-17,S34_2015-09-17
NSW1007645,Wooli_2015-11-10,-29.827401,153.272785,No_data,Wooli_2015-11-10,Wooli_2015-11-10,Wooli_2015-11-10
NSW1012491,S17_2016-07-21,-33.475079,150.776897,popnInfo000529,S17_2016-07-21,S17_2016-07-21,S17_2016-07-21
NSW1006757,Wollemi_National_Park_2015-10-17,-33.49137,150.49821,No_data,Wollemi_National_Park_2015-10-17,Wollemi_2015-10-qq,Wollemi_2015-10-qq
NSW1013361,S465_2017-05-28,-31.026029,153.025082,popnInfo1624,S465_2017-05-28,S465_2017-05-28,S465_2017-05-28
NSW1027021,S687_2017-08-18,-33.261413,150.641271,popnInfo1831,S687_2017-08-18,S687_2017-08-18,S687_2017-08-18
NSW1020318,S180_2017-03-29,-35.110239,150.661011,popnInfo000953,S180_2017-03-29,S180_2017-03-29,S180_2017-03-29
NSW1021139,S249_2017-04-13,-33.400994,151.477404,popnInfo000926,S249_2017-04-13,S249_2017-04-13,S249_2017-04-13
NSW1017172,S50_2016-08-18,-33.681997,151.152084,popnInfo000494,S50_2016-08-18,S50_2016-08-18,S50_2016-08-18
NSW1020488,S51_2016-12-16,-33.271931,150.590019,popnInfo1919,S51_2016-12-16,S51_2016-12-16,S51_2016-12-16
NSW1017675,S465_2017-05-28,-31.026494,153.025244,popnInfo1624,S465_2017-05-28,S465_2017-05-28,S465_2017-05-28
NSW932564,Blue_Mountains_National_Park_2015-06-11,-33.5797,150.36427,No_data,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11
NSW1021695,S321_2017-05-10,-30.541003,149.66687,popnInfo1434,S321_2017-05-10,S321_2017-05-10,S321_2017-05-10
NSW1006713,S46_2015-11-11,-34.32503,150.474264,popnInfo000593,S46_2015-11-11,S46_2015-11-11,S46_2015-11-11
NSW1020143,S159_2017-03-15,-33.194176,151.619569,popnInfo000978,S159_2017-03-15,S159_2017-03-15,S159_2017-03-15
NSW1021129,S249_2017-04-13,-33.401428,151.477685,popnInfo000926,S249_2017-04-13,S249_2017-04-13,S249_2017-04-13
NSW1020027,S180_2017-03-29,-35.108783,150.660215,popnInfo000953,S180_2017-03-29,S180_2017-03-29,S180_2017-03-29
NSW1010519,S244_2016-05-11,-34.037486,151.215556,popnInfo000259,S244_2016-05-11,S244_2016-05-11,S244_2016-05-11
NSW1013696,S324_2016-11-10,-33.794615,150.403657,popnInfo001089,S324_2016-11-10,S324_2016-11-10,S324_2016-11-10
NSW1010529,S244_2016-05-11,-34.037702,151.215678,popnInfo000259,S244_2016-05-11,S244_2016-05-11,S244_2016-05-11
NSW1007435,Wooli_2015-11-10,-29.826968,153.272276,No_data,Wooli_2015-11-10,Wooli_2015-11-10,Wooli_2015-11-10
